year,region,region_iso,value,unit
2000,Canada,CAN,0.000566261,MtCO2/yr
2001,Canada,CAN,0.00055836,MtCO2/yr
2002,Canada,CAN,0.000563729,MtCO2/yr
2003,Canada,CAN,0.000580792,MtCO2/yr
2004,Canada,CAN,0.000579163,MtCO2/yr
2005,Canada,CAN,0.000572855,MtCO2/yr
2006,Canada,CAN,0.000568173,MtCO2/yr
2007,Canada,CAN,0.000591889,MtCO2/yr
2008,Canada,CAN,0.00057577,MtCO2/yr
2009,Canada,CAN,0.000542811,MtCO2/yr
2010,Canada,CAN,0.0005547340000000001,MtCO2/yr
2011,Canada,CAN,0.0005633200000000001,MtCO2/yr
2012,Canada,CAN,0.000564221,MtCO2/yr
2013,Canada,CAN,0.000568854,MtCO2/yr
2014,Canada,CAN,0.000566469,MtCO2/yr
2015,Canada,CAN,0.000565644,MtCO2/yr
2016,Canada,CAN,0.000558872,MtCO2/yr
2017,Canada,CAN,0.0005696029999999999,MtCO2/yr
2018,Canada,CAN,0.0005790789999999999,MtCO2/yr
2019,Canada,CAN,0.000582025,MtCO2/yr
2020,Canada,CAN,0.0005265819999999999,MtCO2/yr
2021,Canada,CAN,0.000540312,MtCO2/yr
2022,Canada,CAN,0.000550612,MtCO2/yr
2023,Canada,CAN,0.000549299,MtCO2/yr
