year,region,region_iso,value,unit
2000,Europe,,0.006154300000000001,MtCO2/yr
2001,Europe,,0.0062809170000000004,MtCO2/yr
2002,Europe,,0.006248751,MtCO2/yr
2003,Europe,,0.006389753,MtCO2/yr
2004,Europe,,0.00641904,MtCO2/yr
2005,Europe,,0.006422171999999999,MtCO2/yr
2006,Europe,,0.006529996,MtCO2/yr
2007,Europe,,0.006473897,MtCO2/yr
2008,Europe,,0.006406544,MtCO2/yr
2009,Europe,,0.0058929030000000006,MtCO2/yr
2010,Europe,,0.006116594,MtCO2/yr
2011,Europe,,0.006045117,MtCO2/yr
2012,Europe,,0.0059985609999999995,MtCO2/yr
2013,Europe,,0.005841422,MtCO2/yr
2014,Europe,,0.0056110299999999995,MtCO2/yr
2015,Europe,,0.0056164809999999996,MtCO2/yr
2016,Europe,,0.005602062,MtCO2/yr
2017,Europe,,0.005635927,MtCO2/yr
2018,Europe,,0.005617016,MtCO2/yr
2019,Europe,,0.005436906,MtCO2/yr
2020,Europe,,0.005026315,MtCO2/yr
2021,Europe,,0.00530404,MtCO2/yr
2022,Europe,,0.00522887,MtCO2/yr
2023,Europe,,0.004993221,MtCO2/yr
