year,region,region_iso,value,unit
2000,Germany,DEU,0.000898976,MtCO2/yr
2001,Germany,DEU,0.000915255,MtCO2/yr
2002,Germany,DEU,0.0008988339999999999,MtCO2/yr
2003,Germany,DEU,0.000894501,MtCO2/yr
2004,Germany,DEU,0.00087657,MtCO2/yr
2005,Germany,DEU,0.0008678809999999999,MtCO2/yr
2006,Germany,DEU,0.000886434,MtCO2/yr
2007,Germany,DEU,0.000846116,MtCO2/yr
2008,Germany,DEU,0.000856607,MtCO2/yr
2009,Germany,DEU,0.000789951,MtCO2/yr
2010,Germany,DEU,0.00082668,MtCO2/yr
2011,Germany,DEU,0.000804514,MtCO2/yr
2012,Germany,DEU,0.0008140900000000001,MtCO2/yr
2013,Germany,DEU,0.000831743,MtCO2/yr
2014,Germany,DEU,0.000792579,MtCO2/yr
2015,Germany,DEU,0.0008008440000000001,MtCO2/yr
2016,Germany,DEU,0.000798014,MtCO2/yr
2017,Germany,DEU,0.000784594,MtCO2/yr
2018,Germany,DEU,0.000760046,MtCO2/yr
2019,Germany,DEU,0.000709827,MtCO2/yr
2020,Germany,DEU,0.000648357,MtCO2/yr
2021,Germany,DEU,0.0006787770000000001,MtCO2/yr
2022,Germany,DEU,0.000671472,MtCO2/yr
2023,Germany,DEU,0.000596151,MtCO2/yr
