year,region,region_iso,value,unit
2000,World,,0.025510553,MtCO2/yr
2001,World,,0.025706293,MtCO2/yr
2002,World,,0.026276868999999998,MtCO2/yr
2003,World,,0.02766949,MtCO2/yr
2004,World,,0.028632506000000002,MtCO2/yr
2005,World,,0.029614395,MtCO2/yr
2006,World,,0.030628396000000002,MtCO2/yr
2007,World,,0.031534645,MtCO2/yr
2008,World,,0.032074199,MtCO2/yr
2009,World,,0.031541922,MtCO2/yr
2010,World,,0.033355902,MtCO2/yr
2011,World,,0.034504538999999994,MtCO2/yr
2012,World,,0.03500002,MtCO2/yr
2013,World,,0.035301656,MtCO2/yr
2014,World,,0.035450093999999994,MtCO2/yr
2015,World,,0.035404898000000004,MtCO2/yr
2016,World,,0.035416656000000005,MtCO2/yr
2017,World,,0.035989898,MtCO2/yr
2018,World,,0.036730426,MtCO2/yr
2019,World,,0.037104273,MtCO2/yr
2020,World,,0.035126527000000005,MtCO2/yr
2021,World,,0.036991734,MtCO2/yr
2022,World,,0.037293836000000004,MtCO2/yr
2023,World,,0.03779157,MtCO2/yr
