variable,description
Population,"Population represents population within the broader context of population in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demographics, human population, population, population size"
Emissions|CO2|Energy|Demand|Transportation,"Emissions|CO2|Energy|Demand|Transportation represents transportation within the broader context of emissions → co2 → energy → demand → transportation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carbon emissions, co2, co2 output, demand, emissions, energy, energy demand, energy sector, energy use, ghg emissions, mobility, transport, transportation, vehicle demand"
Energy Service|Transportation|Freight,"Energy Service|Transportation|Freight represents freight within the broader context of energy service → transportation → freight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy service, energy use, freight, mobility, service, transport, transportation, vehicle demand"
Energy Service|Transportation|Freight|Aviation,"Energy Service|Transportation|Freight|Aviation represents aviation within the broader context of energy service → transportation → freight → aviation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: aviation, energy, energy demand, energy sector, energy service, energy use, freight, mobility, service, transport, transportation, vehicle demand"
Energy Service|Transportation|Freight|International Shipping,"Energy Service|Transportation|Freight|International Shipping represents international shipping within the broader context of energy service → transportation → freight → international shipping in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy service, energy use, freight, international, international shipping, mobility, service, shipping, transport, transportation, vehicle demand"
Energy Service|Transportation|Freight|Railways,"Energy Service|Transportation|Freight|Railways represents railways within the broader context of energy service → transportation → freight → railways in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy service, energy use, freight, mobility, railways, service, transport, transportation, vehicle demand"
Energy Service|Transportation|Freight|Road,"Energy Service|Transportation|Freight|Road represents road within the broader context of energy service → transportation → freight → road in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy service, energy use, freight, mobility, road, service, transport, transportation, vehicle demand"
Energy Service|Transportation|Passenger,"Energy Service|Transportation|Passenger represents passenger within the broader context of energy service → transportation → passenger in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy service, energy use, mobility, passenger, service, transport, transportation, vehicle demand"
Energy Service|Transportation|Passenger|Aviation,"Energy Service|Transportation|Passenger|Aviation represents aviation within the broader context of energy service → transportation → passenger → aviation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: aviation, energy, energy demand, energy sector, energy service, energy use, mobility, passenger, service, transport, transportation, vehicle demand"
Energy Service|Transportation|Passenger|Railways,"Energy Service|Transportation|Passenger|Railways represents railways within the broader context of energy service → transportation → passenger → railways in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy service, energy use, mobility, passenger, railways, service, transport, transportation, vehicle demand"
Energy Service|Transportation|Passenger|Road,"Energy Service|Transportation|Passenger|Road represents road within the broader context of energy service → transportation → passenger → road in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy service, energy use, mobility, passenger, road, service, transport, transportation, vehicle demand"
Final Energy|Transportation,"Final Energy|Transportation represents transportation within the broader context of final energy → transportation in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Electricity,"Final Energy|Transportation|Electricity represents electricity within the broader context of final energy → transportation → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, final, final energy, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Freight,"Final Energy|Transportation|Freight represents freight within the broader context of final energy → transportation → freight in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Liquids|Oil,"Final Energy|Transportation|Liquids|Oil represents oil within the broader context of final energy → transportation → liquids → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, oil, transport, transportation, vehicle demand"
